1,0.308,0.35546,0.33654,138.86
1,0.33851,0.39039,0.2711,84.816
1,0.30449,0.35145,0.34406,147.87
0,0.26447,0.30563,0.4299,201.91
1,0.308,0.35546,0.33654,138.86
0,0.26447,0.30563,0.4299,201.91
1,0.3241,0.37389,0.30202,102.83
1,0.31929,0.36838,0.31233,111.84
0,0.28584,0.3301,0.38406,183.9
0,0.2919,0.33704,0.37106,174.89
0,0.26447,0.30563,0.4299,201.91
1,0.29671,0.34254,0.36074,165.88
1,0.308,0.35546,0.33654,138.86
1,0.31151,0.35948,0.32901,129.85
1,0.29671,0.34254,0.36074,165.88
0,0.29671,0.34254,0.36074,165.88
1,0.31151,0.35948,0.32901,129.85
1,0.3008,0.34722,0.35197,156.88
0,0.27749,0.32054,0.40197,192.91
1,0.29671,0.34254,0.36074,165.88
0,0.27749,0.32054,0.40197,192.91
1,0.33851,0.39039,0.2711,84.816
1,0.308,0.35546,0.33654,138.86
1,0.31151,0.35948,0.32901,129.85
1,0.308,0.35546,0.33654,138.86
0,0.26447,0.30563,0.4299,201.91
1,0.31151,0.35948,0.32901,129.85
1,0.31151,0.35948,0.32901,129.85
0,0.2919,0.33704,0.37106,174.89
1,0.3241,0.37389,0.30202,102.83
1,0.33016,0.38083,0.28901,93.823
1,0.31929,0.36838,0.31233,111.84
1,0.3152,0.3637,0.3211,120.85
1,0.31929,0.36838,0.31233,111.84
1,0.3152,0.3637,0.3211,120.85
0,0.30449,0.35145,0.34406,147.87
1,0.3152,0.3637,0.3211,120.85
0,0.2919,0.33704,0.37106,174.89
0,0.2919,0.33704,0.37106,174.89
1,0.31929,0.36838,0.31233,111.84
1,0.3152,0.3637,0.3211,120.85
0,0.2919,0.33704,0.37106,174.89
0,0.27749,0.32054,0.40197,192.91
1,0.29671,0.34254,0.36074,165.88
1,0.35153,0.4053,0.24317,75.808
1,0.3152,0.3637,0.3211,120.85
1,0.3241,0.37389,0.30202,102.83
1,0.30449,0.35145,0.34406,147.87
1,0.30449,0.35145,0.34406,147.87
1,0.35153,0.4053,0.24317,75.808
0,0.3008,0.34722,0.35197,156.88
0,0.29671,0.34254,0.36074,165.88
1,0.33016,0.38083,0.28901,93.823
1,0.33851,0.39039,0.2711,84.816
1,0.31929,0.36838,0.31233,111.84
1,0.308,0.35546,0.33654,138.86
1,0.3152,0.3637,0.3211,120.85
1,0.3152,0.3637,0.3211,120.85
1,0.35153,0.4053,0.24317,75.808
0,0.27749,0.32054,0.40197,192.91
1,0.33016,0.38083,0.28901,93.823
1,0.33016,0.38083,0.28901,93.823
1,0.33851,0.39039,0.2711,84.816
0,0.28584,0.3301,0.38406,183.9
0,0.28584,0.3301,0.38406,183.9
0,0.28584,0.3301,0.38406,183.9
1,0.3241,0.37389,0.30202,102.83
0,0.2919,0.33704,0.37106,174.89
1,0.30449,0.35145,0.34406,147.87
1,0.3241,0.37389,0.30202,102.83
1,0.3241,0.37389,0.30202,102.83
1,0.3241,0.37389,0.30202,102.83
0,0.29671,0.34254,0.36074,165.88
1,0.33851,0.39039,0.2711,84.816
1,0.31151,0.35948,0.32901,129.85
1,0.33851,0.39039,0.2711,84.816
1,0.33851,0.39039,0.2711,84.816
0,0.30449,0.35145,0.34406,147.87
1,0.3008,0.34722,0.35197,156.88
1,0.3008,0.34722,0.35197,156.88
1,0.308,0.35546,0.33654,138.86
1,0.33851,0.39039,0.2711,84.816
1,0.35153,0.4053,0.24317,75.808
0,0.2919,0.33704,0.37106,174.89
1,0.30449,0.35145,0.34406,147.87
1,0.33016,0.38083,0.28901,93.823
0,0.29671,0.34254,0.36074,165.88
1,0.31151,0.35948,0.32901,129.85
0,0.2919,0.33704,0.37106,174.89
1,0.3152,0.3637,0.3211,120.85
1,0.31929,0.36838,0.31233,111.84
1,0.33851,0.39039,0.2711,84.816
0,0.27749,0.32054,0.40197,192.91
1,0.33016,0.38083,0.28901,93.823
0,0.28584,0.3301,0.38406,183.9
1,0.3008,0.34722,0.35197,156.88
1,0.308,0.35546,0.33654,138.86
1,0.3241,0.37389,0.30202,102.83
1,0.31929,0.36838,0.31233,111.84
1,0.31151,0.35948,0.32901,129.85
0,0.27749,0.32054,0.40197,192.91
0,0.2919,0.33704,0.37106,174.89
1,0.35153,0.4053,0.24317,75.808
0,0.27749,0.32054,0.40197,192.91
1,0.3008,0.34722,0.35197,156.88
1,0.31151,0.35948,0.32901,129.85
1,0.30449,0.35145,0.34406,147.87
0,0.26447,0.30563,0.4299,201.91
1,0.3241,0.37389,0.30202,102.83
0,0.28584,0.3301,0.38406,183.9
1,0.33016,0.38083,0.28901,93.823
1,0.3008,0.34722,0.35197,156.88
1,0.308,0.35546,0.33654,138.86
1,0.3152,0.3637,0.3211,120.85
1,0.31929,0.36838,0.31233,111.84
0,0.27749,0.32054,0.40197,192.91
1,0.31151,0.35948,0.32901,129.85
0,0.26447,0.30563,0.4299,201.91
0,0.28584,0.3301,0.38406,183.9
0,0.27749,0.32054,0.40197,192.91
1,0.35153,0.4053,0.24317,75.808
1,0.33851,0.39039,0.2711,84.816
0,0.27749,0.32054,0.40197,192.91
1,0.3008,0.34722,0.35197,156.88
1,0.33016,0.38083,0.28901,93.823
1,0.35153,0.4053,0.24317,75.808
1,0.35153,0.4053,0.24317,75.808
1,0.30449,0.35145,0.34406,147.87
0,0.2919,0.33704,0.37106,174.89
1,0.308,0.35546,0.33654,138.86
1,0.29671,0.34254,0.36074,165.88
1,0.29671,0.34254,0.36074,165.88
0,0.28584,0.3301,0.38406,183.9
1,0.30449,0.35145,0.34406,147.87
0,0.26447,0.30563,0.4299,201.91
0,0.26447,0.30563,0.4299,201.91
1,0.33016,0.38083,0.28901,93.823
0,0.28584,0.3301,0.38406,183.9
1,0.33016,0.38083,0.28901,93.823
0,0.26447,0.30563,0.4299,201.91
1,0.3152,0.3637,0.3211,120.85
1,0.31929,0.36838,0.31233,111.84
1,0.3008,0.34722,0.35197,156.88
1,0.35153,0.4053,0.24317,75.808
0,0.26447,0.30563,0.4299,201.91
1,0.35153,0.4053,0.24317,75.808
1,0.3008,0.34722,0.35197,156.88
0,0.28584,0.3301,0.38406,183.9
1,0.3241,0.37389,0.30202,102.83
1,0.31929,0.36838,0.31233,111.84
