395,1.76E-07,1.67E-07,2.58E-07,3.38E-07,1.12E-07,5.34E-07,2.36E-07,6.55E-07,1.15E-06,1.34E-07,1.88E-07,9.49E-08,1.98E-07,3.30E-07,4.54E-07,5.15E-07,4.41E-07,0,1.51E-07,5.58E-07,1.48E-06,2.36E-06,4.33E-06,6.94E-06,1.07E-05,1.62E-05,2.26E-05
396,1.49E-07,2.31E-07,2.62E-07,3.42E-07,2.13E-08,5.68E-07,3.87E-07,6.23E-07,1.35E-06,1.64E-07,2.22E-07,1.25E-07,2.30E-07,4.20E-07,3.71E-07,5.88E-07,5.30E-07,0,2.18E-07,5.96E-07,1.47E-06,2.65E-06,4.77E-06,7.58E-06,1.15E-05,1.76E-05,2.45E-05
397,1.68E-07,2.82E-07,2.70E-07,3.37E-07,7.61E-09,5.92E-07,5.42E-07,6.31E-07,1.47E-06,2.15E-07,2.40E-07,1.77E-07,2.67E-07,4.93E-07,3.26E-07,6.25E-07,6.00E-07,7.69E-08,2.72E-07,6.53E-07,1.50E-06,2.96E-06,5.28E-06,8.34E-06,1.25E-05,1.91E-05,2.65E-05
398,2.36E-07,3.14E-07,2.81E-07,3.26E-07,7.96E-08,6.11E-07,6.89E-07,6.85E-07,1.51E-06,2.85E-07,2.42E-07,2.48E-07,3.07E-07,5.43E-07,3.32E-07,6.27E-07,6.50E-07,2.26E-07,3.09E-07,7.33E-07,1.61E-06,3.28E-06,5.86E-06,9.23E-06,1.37E-05,2.08E-05,2.88E-05
399,3.29E-07,3.33E-07,2.93E-07,3.16E-07,2.09E-07,6.32E-07,8.23E-07,7.69E-07,1.49E-06,3.56E-07,2.39E-07,3.29E-07,3.52E-07,5.78E-07,3.81E-07,6.13E-07,6.94E-07,4.14E-07,3.32E-07,8.31E-07,1.77E-06,3.63E-06,6.52E-06,1.02E-05,1.51E-05,2.27E-05,3.14E-05
400,4.22E-07,3.43E-07,3.06E-07,3.13E-07,3.65E-07,6.63E-07,9.39E-07,8.66E-07,1.43E-06,4.15E-07,2.40E-07,4.07E-07,4.03E-07,6.06E-07,4.64E-07,6.05E-07,7.45E-07,6.15E-07,3.44E-07,9.42E-07,1.98E-06,4.02E-06,7.24E-06,1.14E-05,1.67E-05,2.48E-05,3.41E-05
401,4.88E-07,3.49E-07,3.16E-07,3.24E-07,5.18E-07,7.09E-07,1.03E-06,9.54E-07,1.35E-06,4.43E-07,2.58E-07,4.71E-07,4.59E-07,6.33E-07,5.70E-07,6.23E-07,8.14E-07,8.05E-07,3.49E-07,1.06E-06,2.22E-06,4.45E-06,7.99E-06,1.25E-05,1.84E-05,2.70E-05,3.70E-05
402,5.08E-07,3.56E-07,3.25E-07,3.54E-07,6.40E-07,7.77E-07,1.10E-06,1.02E-06,1.29E-06,4.30E-07,3.01E-07,5.13E-07,5.22E-07,6.68E-07,6.91E-07,6.87E-07,9.13E-07,9.66E-07,3.53E-07,1.18E-06,2.48E-06,4.93E-06,8.80E-06,1.37E-05,2.03E-05,2.93E-05,4.00E-05
403,4.88E-07,3.71E-07,3.37E-07,4.04E-07,7.30E-07,8.63E-07,1.15E-06,1.07E-06,1.26E-06,3.86E-07,3.68E-07,5.38E-07,5.91E-07,7.12E-07,8.16E-07,7.93E-07,1.04E-06,1.10E-06,3.62E-07,1.30E-06,2.77E-06,5.47E-06,9.65E-06,1.49E-05,2.23E-05,3.19E-05,4.33E-05
404,4.52E-07,4.01E-07,3.63E-07,4.69E-07,7.96E-07,9.58E-07,1.18E-06,1.13E-06,1.26E-06,3.36E-07,4.53E-07,5.60E-07,6.63E-07,7.65E-07,9.34E-07,9.26E-07,1.18E-06,1.22E-06,3.86E-07,1.44E-06,3.09E-06,6.07E-06,1.06E-05,1.63E-05,2.44E-05,3.46E-05,4.68E-05
